use_parallel,batch_size,num_heads,seq_len,emb_dim,B_c,B_r,block_dim_y,time
1,1,10,4096,128,32,32,5,7310.28
1,5,10,4096,128,32,32,5,7350.23
1,10,10,4096,128,32,32,5,7389.98
1,20,10,4096,128,32,32,5,8721.28
1,35,10,4096,128,32,32,5,21659.9
1,50,10,4096,128,32,32,5,21767.6
