use_parallel,batch_size,num_heads,seq_len,emb_dim,B_c,B_r,block_dim_y,time
1,2,2,16,128,32,16,5,0.647582
1,2,2,64,128,32,16,5,2.43949
1,2,2,256,128,32,16,5,32.3789
1,2,2,1024,128,32,16,5,505.271
1,2,2,4096,128,32,16,5,8046.79
1,2,2,6144,128,32,16,5,18101.6
1,2,2,8192,128,32,16,5,32822.6
