use_parallel,batch_size,num_heads,seq_len,emb_dim,B_c,B_r,block_dim_y
1,10,10,4096,256,32,1,5
1,10,10,4096,256,32,2,5
1,10,10,4096,256,32,4,5
1,10,10,4096,256,32,16,5
1,10,10,4096,256,32,64,5
1,10,10,4096,256,32,256,5
