use_parallel,batch_size,num_heads,seq_len,emb_dim,B_c,B_r,block_dim_y,time
1,1,1,64,32,16,32,5,0.783426
1,5,5,128,64,16,32,5,4.28524
1,10,10,256,128,16,32,5,31.164
1,20,20,512,256,16,32,5,554.497
1,20,20,1024,512,16,32,5,-2.0
0,1,1,64,32,16,32,5,6.39224
0,5,5,128,64,16,32,5,1152.61
0,10,10,256,128,16,32,5,35709.4
0,20,20,512,256,16,32,5,1121880.0
0,20,20,1024,512,16,32,5,-2.0
