use_parallel,batch_size,num_heads,seq_len,emb_dim,B_c,B_r,block_dim_y,time
1,10,10,4096,256,32,1,5,109081.0
1,10,10,4096,256,32,2,5,55767.9
1,10,10,4096,256,32,4,5,31190.0
1,10,10,4096,256,32,16,5,16436.5
1,10,10,4096,256,32,64,5,-2.0
1,10,10,4096,256,32,256,5,-2.0
