use_parallel,batch_size,num_heads,seq_len,emb_dim,B_c,B_r,block_dim_y
1,10,10,4096,256,1,32,5
1,10,10,4096,256,2,32,5
1,10,10,4096,256,4,32,5
1,10,10,4096,256,16,32,5
1,10,10,4096,256,32,32,5
1,10,10,4096,256,64,32,5
1,10,10,4096,256,128,32,5
