use_parallel,batch_size,num_heads,seq_len,emb_dim,B_c,B_r,block_dim_y,time
1,10,1,4096,128,32,32,5,7312.4
1,10,5,4096,128,32,32,5,7345.65
1,10,10,4096,128,32,32,5,7411.75
1,10,20,4096,128,32,32,5,8765.61
1,10,35,4096,128,32,32,5,21694.6
1,10,50,4096,128,32,32,5,21863.1
