use_parallel,batch_size,num_heads,seq_len,emb_dim,B_c,B_r,block_dim_y,time
1,10,10,4096,128,32,32,1,3569.57
1,10,10,4096,128,32,32,2,3568.44
1,10,10,4096,128,32,32,4,3568.54
1,10,10,4096,128,32,32,8,3565.57
1,10,10,4096,128,32,32,16,3574.0
1,10,10,4096,128,32,32,32,3569.67
